범주,KPI,산식_정의,단위,개선방향,필요데이터_증거,도입단계,기준선산출,목표설정,연결행동,주의
서비스,인증성공률,인증성공건수÷인증시도건수×100,%,상향,인증현황,2단계,첫 안정 공개버전의 완전 집계기간,QA 통과 기준선과 공단 운영여건 확인 후 확정,인증안내·대체수단 개선,분모 0은 산출불가; 중복시도 정의
서비스,인증실패율,인증실패건수÷인증시도건수×100,%,하향,인증현황,2단계,첫 안정 공개버전의 완전 집계기간,QA 통과 기준선과 공단 운영여건 확인 후 확정,오류문구·재시도동선 개선,실패건수와 함께 판단
서비스,업무완료율,업무완료건수÷업무시작건수×100,%,상향,업무처리현황,3단계,서비스유형별 정의가 안정된 완전 집계기간,QA 통과 기준선과 공단 운영여건 확인 후 확정,화면·절차 개선,보완요청·임시저장 처리 정의
서비스,중도이탈률,중도이탈건수÷업무시작건수×100,%,하향,업무처리현황,3단계,서비스유형별 정의가 안정된 완전 집계기간,QA 통과 기준선과 공단 운영여건 확인 후 확정,이탈단계 점검,타임아웃·사용자종료 구분
서비스,디지털→상담 전환율,상담전환건수÷업무시작건수×100,%,진단,업무처리현황,3단계,전환 인정기간이 고정된 완전 집계기간,QA 통과 기준선과 공단 운영여건 확인 후 확정,상담·안내 우선순위,높고 낮음 자체가 성과방향은 아님
서비스,디지털→전화 전환율,전화상담전환건수÷업무시작건수×100,%,진단,업무처리현황,3단계,채널 배정규칙이 고정된 완전 집계기간,QA 통과 기준선과 공단 운영여건 확인 후 확정,콜센터 수요·FAQ 조정,전체 상담전환의 채널 부문
서비스,반복상담률,반복상담건수÷상담전환건수×100,%,하향,업무처리현황,3단계,동일문제·반복기간 정의 후,QA 통과 기준선과 공단 운영여건 확인 후 확정,상담완결성 개선,상담전환 분모 0은 산출불가
서비스,비밀번호재설정률,비밀번호재설정건수÷ID·비밀번호 인증시도건수×100,%,진단,인증현황,2단계,ID·비밀번호 방식의 완전 집계기간,QA 통과 기준선과 공단 운영여건 확인 후 확정,재설정 동선·대체인증 안내,단순 하향이 항상 좋은 것은 아님
서비스,인증알림톡 발송률,인증알림톡발송건수÷인증알림톡대상건수×100,%,진단,인증현황,2단계,대상·발송 정의가 고정된 기간,QA 통과 기준선과 공단 운영여건 확인 후 확정,알림 운영점검,발송 성공·도달·효과를 구분
서비스확장,미청구 안내도달률,안내도달건수÷안내대상건수×100,%,상향,후속 미청구자 코호트 집계,후속,대상·도달 정의와 인정기간 확정 후,QA 통과 기준선과 공단 운영여건 확인 후 확정,안내채널 개선,ID 15081264 원본 심층검사 전 제안산식
서비스확장,미청구 청구전환율,안내 후 청구접수건수÷안내도달건수×100,%,상향,후속 미청구자 코호트 집계,후속,동일 안내코호트 기준선,QA 통과 기준선과 공단 운영여건 확인 후 확정,재안내·청구동선 개선,안내건수를 전환성과로 대체 금지
서비스확장,미청구 지급완료율,안내 후 지급완료건수÷안내 후 청구접수건수×100,%,상향,후속 미청구자 코호트 집계,후속,청구·지급 상태정의 확정 후,QA 통과 기준선과 공단 운영여건 확인 후 확정,보완서류·처리지연 점검,청구접수와 지급완료 구분
데이터품질,핵심지표 정의완결률,필수 정의항목 완결 파일÷검사대상 파일×100,%,상향,데이터사전·메타데이터 QA,1단계,Ⅴ장 핵심파일 최초점검,QA 통과 기준선과 공단 운영여건 확인 후 확정,정의 보완,필수항목 목록 버전 고정
데이터품질,부문합계 일치율,총계와 부문합 일치 행÷검사행×100,%,상향,합계 QA,1단계,정정 전 최초검사,QA 통과 기준선과 공단 운영여건 확인 후 확정,집계로직·조정항목 개선,허용차이는 사유코드 필요
