단계,활동,R_실행,A_최종책임,C_협의,I_공유,입력,산출물,단계관문
1단계,품질사례별 원천업무 확인,원천업무·통계 담당 기능,공공데이터 총괄 기능,데이터품질·정보시스템 기능,서비스운영·외부이용자,Ⅴ장 8개 품질사례,파일별 기준일·모집단·산식 확인표,정의 공란 없음·차이 원인 또는 사용기준 승인
1단계,정정파일·메타데이터·수정이력 동시 반영,데이터품질·공공데이터 운영 기능,공공데이터 총괄 기능,원천업무·정보시스템 기능,외부이용자,확인표·기존 공개파일,정정파일·데이터사전·QA 결과·변경이력,합계·날짜·단위·링크 회귀검사 통과
2단계,인증로그 이벤트·중복시도·분모 정의,정보시스템·인증 운영 기능,디지털서비스 책임 기능,공공데이터·개인정보보호·상담 기능,원천업무 담당,Ⅵ장 인증현황 14필드,이벤트정의서·코드매핑·집계버전,성공+실패와 시도 관계·코드·분모 승인
2단계,월별 비식별 집계·보호검토·시범 공개,공공데이터·정보시스템 기능,공공데이터 총괄 기능,개인정보·정보보안·디지털서비스 기능,상담·원천업무 담당,인증로그·코드표·보호기준,인증현황 시범파일·검수표·공개설명,필드·합계·억제·버전 QA 및 위험검토 통과
3단계,서비스 시작·완료·이탈 이벤트 정의,디지털서비스·정보시스템 기능,디지털서비스 책임 기능,원천업무·공공데이터·상담 기능,개인정보보호 기능,Ⅵ장 업무처리현황 16필드,서비스유형 매핑·처리상태 정의서,완료·이탈·기타종료의 상호배타성 검증
3단계,디지털→상담·전화 전환 집계,정보시스템·상담/VOC 운영 기능,디지털서비스 책임 기능,개인정보·정보보안·공공데이터 기능,원천업무 담당,디지털 이벤트·상담 등록채널,전체·채널별 전환과 반복상담 집계,채널부문합=전체전환·내부키 제거·위험검토 통과
3단계,인증실패사유 공개범주 매핑,정보시스템·인증 운영 기능,디지털서비스 책임 기능,정보보안·상담·공공데이터 기능,원천업무 담당,내부 오류코드,공개용 실패사유표·미상관리표,원문오류 미공개·실패사유합 교차검증
4단계,정기 공개·갱신·오류신고 운영,공공데이터·데이터품질 기능,공공데이터 총괄 기능,원천업무·정보시스템·보안 기능,서비스·상담·외부이용자,단계별 공개파일·QA,정기파일·수정이력·오류처리대장,예정주기 준수·오류처리·위험재검토 기록
4단계,서비스 개선과 전후평가,디지털서비스·상담/VOC 운영 기능,해당 서비스 책임 기능,데이터분석·공공데이터·원천업무 기능,경영·대외협력 기능,기준선·KPI·개선후 동일지표,개선조치서·전후평가서·잔여가설,동일 산식·버전 또는 변경영향 설명
4단계,외부 활용·성과확산·재개방,공공데이터·대외협력 기능,공공데이터 총괄 기능,서비스·데이터품질·정보보안 기능,경영·연구협력 대상,활용사례·외부의견·오류신고,활용사례 기록·개선백로그·재개방 버전,활용증거와 다음 개선항목 연결
